exam,variant,target,slice_type,slice_value,n,spearman,actual_mean,pred_mean,actual_median,pred_median,metric,error,signed_error,actual_to_pred_ratio
dual,cover_yolo,popularity,source_slice,UNKNOWN,83,0.24181775250287454,1182.9759036144578,651.5080607381526,715.0,566.2763997437771,log_mae,0.5425973231386115,-0.4265274786683783,1.815750218461084
dual,cover_yolo,popularity,source_slice,VIDEO_GAME,149,0.5522126397970009,6261.4496644295305,746.2592186695747,1202.0,600.5201143367441,log_mae,1.0971455880975403,-0.9850272001315649,8.390448664195258
dual,cover_yolo,popularity,popularity_tail,lower_90pct,1081,0.5592288375258222,2534.0980573543015,954.5421544710061,1055.0,610.8458826361873,log_mae,0.9586726998183872,-0.7251136200571114,2.654778571574624
dual,cover_yolo,popularity,popularity_tail,top_10pct,121,0.2129521745020999,61517.27272727273,2022.443575383326,40447.0,1475.0380049939272,log_mae,3.357023763593353,-3.357023763593353,30.417299882204617
dual,cover_yolo,meanScore,popularity_quantile,Q1_low,241,0.3850012195684652,55.483817427385894,50.221815435332836,55.8,51.41008903771139,mae,6.487178428867941,-5.262001992053057,
dual,cover_yolo,meanScore,popularity_quantile,Q2,240,0.503677127181216,57.357083333333335,52.84651128279376,57.4,53.429495078962304,mae,5.58953260721752,-4.510572050539569,
dual,cover_yolo,meanScore,popularity_quantile,Q3,240,0.5291880495521267,57.83541666666667,55.12373617273972,58.650000000000006,55.309510074617705,mae,4.835770099054447,-2.7116804939269583,
dual,cover_yolo,meanScore,popularity_quantile,Q4,240,0.29815159066591856,62.514583333333334,57.438985916069335,63.0,58.41236063087079,mae,6.372509716866602,-5.075597417263998,
dual,cover_yolo,meanScore,popularity_quantile,Q5_high,241,0.28177291788873676,68.40124481327801,59.49635251643976,68.2,59.87656402699627,mae,9.16362267143299,-8.904892296838252,
dual,cover_yolo,meanScore,score_quantile,Q1_low,241,0.14887941058941023,51.111203319502074,49.00563413800285,51.900000000000006,48.69843962599703,mae,5.310294650022118,-2.105569181499228,
dual,cover_yolo,meanScore,score_quantile,Q2,240,0.13165282818418805,56.555,52.887408864612794,56.6,53.56129176748042,mae,5.051279620488165,-3.667591135387204,
dual,cover_yolo,meanScore,score_quantile,Q3,240,0.18865336066561386,59.88125,55.6192736642931,59.8,55.942891300023774,mae,5.294987139638514,-4.261976335706908,
dual,cover_yolo,meanScore,score_quantile,Q4,240,0.12232809975248367,63.67541666666666,58.11171025061938,63.5,58.53931951740878,mae,5.86649874137656,-5.563706416047281,
dual,cover_yolo,meanScore,score_quantile,Q5_high,241,0.2246490602490583,70.37925311203318,59.50839166480131,69.3,59.88057450799005,mae,10.923125791326443,-10.870861447231883,
